+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 248   | 0   | 248  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MC1VAJB6N611R385QN3/classes                                               | 0.004 | 1.228 | 23.420   | 0.094 | 0.232 | 0.340 | 0.644 | 0.146  | 258.000     | 1339.000    | 192981.000   | 778.149     |
| 199   | 0   | 199  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FSWJFX1AB0YYDZGSG1Q/classes                                               | 0.004 | 1.120 | 22.440   | 0.113 | 0.228 | 0.524 | 0.948 | 0.163  | 337.000     | 1177.000    | 152023.000   | 763.935     |
| 90    | 0   | 90   | 0   | 0   | 0   | GET    | /api/courses/01HFNB5H2RZE9PSSMY27X8GZQ4/classes                                               | 0.008 | 2.980 | 21.968   | 0.244 | 0.580 | 0.824 | 2.980 | 0.442  | 212.000     | 1100.000    | 51684.000    | 574.267     |
| 42    | 0   | 42   | 0   | 0   | 0   | POST   | /api/courses/01HFNB5H8QXFDNZPCB08RBP1EA/classes/01HFNB5YF2PMBTX35AC68E8T0D/assignments        | 0.016 | 4.072 | 20.316   | 0.484 | 1.540 | 1.788 | 4.072 | 0.764  | 0.000       | 0.000       | 0.000        | 0.000       |
| 76    | 0   | 76   | 0   | 0   | 0   | GET    | /api/courses/01HFNB4N8H0WKM46TA9XN7086P/classes                                               | 0.004 | 2.440 | 20.220   | 0.266 | 0.844 | 1.260 | 2.440 | 0.412  | 212.000     | 1172.000    | 51080.000    | 672.105     |
| 52    | 0   | 52   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB5QWF9PE8KQBXX0T1N79V                                                 | 0.012 | 2.960 | 19.640   | 0.378 | 1.220 | 2.356 | 2.960 | 0.670  | 500.000     | 501.000     | 26003.000    | 500.058     |
| 48    | 0   | 47   | 0   | 1   | 0   | GET    | /api/announcements/01HFNB61PNAN9YXYT8XQEV3DKQ                                                 | 0.020 | 5.000 | 19.044   | 0.397 | 0.784 | 1.584 | 5.000 | 0.815  | 531.000     | 531.000     | 24957.000    | 519.938     |
| 45    | 0   | 44   | 0   | 1   | 0   | GET    | /api/announcements/01HFNB65H7YXV5A3PXE7XPX9MG                                                 | 0.012 | 5.000 | 18.208   | 0.405 | 1.352 | 1.896 | 5.000 | 0.902  | 403.000     | 403.000     | 17732.000    | 394.044     |
| 46    | 0   | 46   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB641Q5T0XZFFY27H6WZ0C                                                 | 0.016 | 2.764 | 18.188   | 0.395 | 1.208 | 1.608 | 2.764 | 0.612  | 323.000     | 323.000     | 14858.000    | 323.000     |
| 49    | 0   | 49   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB64E6ZEMH5J2PP27XZ3JQ                                                 | 0.020 | 4.920 | 18.124   | 0.370 | 0.848 | 1.504 | 4.920 | 0.889  | 583.000     | 583.000     | 28567.000    | 583.000     |
| 30    | 0   | 29   | 0   | 1   | 0   | POST   | /api/courses/01HFNB4N6XSSSAHWDNERY2RVE9/classes/01HFNB5V85XGXVA12X03WXZGQA/assignments        | 0.024 | 5.000 | 17.528   | 0.584 | 1.068 | 4.808 | 5.000 | 1.195  | 0.000       | 0.000       | 0.000        | 0.000       |
| 45    | 0   | 45   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB649VGJC5ANBCK79CSTHR                                                 | 0.008 | 4.032 | 17.364   | 0.386 | 0.816 | 1.232 | 4.032 | 0.750  | 475.000     | 475.000     | 21375.000    | 475.000     |
| 47    | 0   | 47   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB5RPK5A2RWS59AR31P773                                                 | 0.020 | 2.796 | 17.268   | 0.367 | 1.016 | 1.324 | 2.796 | 0.547  | 332.000     | 332.000     | 15604.000    | 332.000     |
| 51    | 0   | 51   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB5YFFJSM16BHSA9VND642                                                 | 0.020 | 2.824 | 17.016   | 0.334 | 0.652 | 1.064 | 2.824 | 0.459  | 372.000     | 373.000     | 18973.000    | 372.020     |
| 50    | 0   | 50   | 0   | 0   | 0   | POST   | /api/courses/01HFNB4MD09H8ST2QRQH2YNK8C/classes/01HFNB4Z027NT1VAGR7XV4TBSZ/assignments        | 0.012 | 2.076 | 16.780   | 0.336 | 0.760 | 1.176 | 2.076 | 0.439  | 0.000       | 0.000       | 0.000        | 0.000       |
